symbol,side,signal_time,entry_time,exit_time,entry_price,initial_stop,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,r_multiple
RELIANCE,short,2026-06-23 11:50:00+05:30,2026-06-23 11:55:00+05:30,2026-06-23 12:20:00+05:30,1323.5379,1325.8,1320.8046,94,target,256.92,74.57,182.35,0.8575
INFY,short,2026-06-23 12:20:00+05:30,2026-06-23 12:30:00+05:30,2026-06-23 12:55:00+05:30,1032.9832,1034.6,1035.1173,121,stop,-258.22,75.07,-333.29,-1.7037
TCS,short,2026-06-23 13:25:00+05:30,2026-06-23 13:30:00+05:30,2026-06-23 14:10:00+05:30,2059.9695,2066.8999,2066.7328,60,stop,-405.8,74.28,-480.08,-1.1545
LT,long,2026-06-24 09:35:00+05:30,2026-06-24 09:40:00+05:30,2026-06-24 09:45:00+05:30,4212.105,4196.0,4193.902,29,stop,-527.89,73.13,-601.02,-1.2869
TCS,long,2026-06-24 09:40:00+05:30,2026-06-24 09:45:00+05:30,2026-06-24 10:00:00+05:30,2079.2391,2063.0,2069.065,60,stop,-610.44,74.67,-685.11,-0.7032
SBIN,short,2026-06-24 09:30:00+05:30,2026-06-24 09:35:00+05:30,2026-06-24 10:10:00+05:30,1021.7389,1026.85,1026.8632,122,stop,-625.16,74.98,-700.14,-1.1228
HDFCBANK,long,2026-06-24 09:55:00+05:30,2026-06-24 10:00:00+05:30,2026-06-24 10:55:00+05:30,781.8907,778.9,785.9836,159,target,650.77,74.79,575.98,1.2113
INFY,long,2026-06-24 10:55:00+05:30,2026-06-24 11:10:00+05:30,2026-06-24 11:30:00+05:30,1049.0242,1046.3,1046.5764,119,stop,-291.29,74.81,-366.1,-1.1293
KOTAKBANK,long,2026-06-24 11:20:00+05:30,2026-06-24 11:25:00+05:30,2026-06-24 11:55:00+05:30,406.4031,405.25,406.5466,307,stop,44.06,74.87,-30.81,-0.087
RELIANCE,long,2026-06-24 13:05:00+05:30,2026-06-24 13:10:00+05:30,2026-06-24 13:25:00+05:30,1317.6585,1314.5,1316.9412,94,stop,-67.43,74.3,-141.72,-0.4773
AXISBANK,long,2026-06-24 13:30:00+05:30,2026-06-24 13:35:00+05:30,2026-06-24 13:55:00+05:30,1383.6915,1381.0,1380.3095,90,stop,-304.38,74.63,-379.01,-1.5646
ICICIBANK,long,2026-06-24 13:25:00+05:30,2026-06-24 13:30:00+05:30,2026-06-24 14:00:00+05:30,1374.8871,1371.1,1370.4144,90,stop,-402.54,74.12,-476.66,-1.3985
ITC,long,2026-06-25 09:50:00+05:30,2026-06-25 09:55:00+05:30,2026-06-25 10:10:00+05:30,291.3956,290.7,290.7046,428,stop,-295.77,74.74,-370.51,-1.2445
SBIN,long,2026-06-25 10:55:00+05:30,2026-06-25 11:10:00+05:30,2026-06-25 11:40:00+05:30,1051.2754,1049.3,1049.5749,118,stop,-200.65,74.37,-275.02,-1.1799
KOTAKBANK,long,2026-06-25 12:10:00+05:30,2026-06-25 12:15:00+05:30,2026-06-25 12:20:00+05:30,411.9059,411.1,412.9081,303,target,303.67,74.98,228.7,0.9366
AXISBANK,long,2026-06-25 11:55:00+05:30,2026-06-25 12:00:00+05:30,2026-06-25 12:25:00+05:30,1394.3968,1388.4,1387.7058,89,stop,-595.5,74.28,-669.78,-1.2549
TCS,short,2026-06-25 12:30:00+05:30,2026-06-25 12:35:00+05:30,2026-06-25 12:55:00+05:30,2116.4413,2124.8,2122.5608,59,stop,-361.05,75.03,-436.08,-0.8842
INFY,short,2026-06-25 14:25:00+05:30,2026-06-25 14:40:00+05:30,2026-06-25 15:25:00+05:30,1042.0787,1045.7,1042.0207,119,stop,6.89,74.4,-67.51,-0.1567
SBIN,short,2026-06-29 10:00:00+05:30,2026-06-29 10:05:00+05:30,2026-06-29 10:10:00+05:30,1039.48,1042.5,1043.0213,120,stop,-424.95,74.97,-499.92,-1.3795
LT,long,2026-06-29 10:25:00+05:30,2026-06-29 10:30:00+05:30,2026-06-29 10:35:00+05:30,4253.5256,4235.0,4232.8825,29,stop,-598.65,73.83,-672.48,-1.2517
ITC,long,2026-06-29 10:55:00+05:30,2026-06-29 11:00:00+05:30,2026-06-29 11:25:00+05:30,291.6958,290.95,290.8545,428,stop,-360.06,74.8,-434.86,-1.3624
AXISBANK,short,2026-06-29 13:40:00+05:30,2026-06-29 13:45:00+05:30,2026-06-29 13:50:00+05:30,1371.4139,1374.1,1374.787,91,stop,-306.95,74.97,-381.92,-1.5625
KOTAKBANK,short,2026-06-29 12:35:00+05:30,2026-06-29 12:40:00+05:30,2026-06-29 14:30:00+05:30,397.3512,398.85,398.4991,314,stop,-360.45,74.97,-435.42,-0.9252
ICICIBANK,short,2026-06-30 09:45:00+05:30,2026-06-30 09:50:00+05:30,2026-06-30 10:00:00+05:30,1383.2081,1389.1,1389.7945,90,stop,-592.78,74.87,-667.65,-1.2591
ITC,short,2026-06-30 09:30:00+05:30,2026-06-30 09:35:00+05:30,2026-06-30 10:00:00+05:30,289.1553,290.0,289.3946,432,stop,-103.37,74.98,-178.35,-0.4888
LT,short,2026-06-30 10:25:00+05:30,2026-06-30 10:30:00+05:30,2026-06-30 10:45:00+05:30,4153.4223,4171.1001,4173.1856,30,stop,-592.9,74.94,-667.84,-1.2593
SBIN,long,2026-06-30 11:20:00+05:30,2026-06-30 11:25:00+05:30,2026-06-30 11:35:00+05:30,1044.3719,1039.05,1038.5305,119,stop,-695.12,74.36,-769.48,-1.215
KOTAKBANK,short,2026-06-30 12:05:00+05:30,2026-06-30 12:10:00+05:30,2026-06-30 12:15:00+05:30,392.0539,392.8,392.9964,318,stop,-299.72,74.89,-374.61,-1.5789
INFY,short,2026-06-30 11:30:00+05:30,2026-06-30 11:35:00+05:30,2026-06-30 12:25:00+05:30,1009.9948,1015.2,1010.2049,123,stop,-25.84,74.55,-100.39,-0.1568
TCS,short,2026-06-30 11:30:00+05:30,2026-06-30 11:45:00+05:30,2026-06-30 12:35:00+05:30,2043.1779,2054.0,2044.6218,61,stop,-88.08,74.81,-162.89,-0.2467
RELIANCE,short,2026-06-30 14:00:00+05:30,2026-06-30 14:05:00+05:30,2026-06-30 14:20:00+05:30,1292.0536,1295.1,1295.7475,96,stop,-354.62,74.53,-429.15,-1.4674
AXISBANK,short,2026-06-30 14:35:00+05:30,2026-06-30 14:40:00+05:30,2026-06-30 14:55:00+05:30,1347.8257,1352.7,1351.3753,92,stop,-326.56,74.5,-401.06,-0.8944
RELIANCE,long,2026-07-01 09:50:00+05:30,2026-07-01 09:55:00+05:30,2026-07-01 10:00:00+05:30,1301.9507,1299.2,1305.4238,96,target,333.42,75.09,258.32,0.9782
AXISBANK,long,2026-07-01 09:50:00+05:30,2026-07-01 09:55:00+05:30,2026-07-01 10:20:00+05:30,1357.3783,1351.6,1365.3628,92,target,734.57,75.15,659.42,1.2404
SBIN,long,2026-07-01 10:15:00+05:30,2026-07-01 10:20:00+05:30,2026-07-01 11:25:00+05:30,1034.517,1030.5,1034.7824,120,stop,31.85,74.49,-42.65,-0.0885
INFY,short,2026-07-01 12:10:00+05:30,2026-07-01 12:15:00+05:30,2026-07-01 12:40:00+05:30,994.1027,998.5,995.9977,125,stop,-236.88,74.63,-311.51,-0.5667
HDFCBANK,long,2026-07-01 11:55:00+05:30,2026-07-01 12:00:00+05:30,2026-07-01 12:50:00+05:30,801.9508,798.8,799.6,155,stop,-364.37,74.47,-438.84,-0.8986
ITC,long,2026-07-01 10:55:00+05:30,2026-07-01 11:00:00+05:30,2026-07-01 12:50:00+05:30,289.4947,288.8,289.7051,431,stop,90.68,74.89,15.79,0.0527
LT,short,2026-07-01 12:55:00+05:30,2026-07-01 13:00:00+05:30,2026-07-01 13:20:00+05:30,4082.9575,4091.8,4091.9449,30,stop,-269.62,73.57,-343.19,-1.2937
TCS,short,2026-07-01 12:10:00+05:30,2026-07-01 12:15:00+05:30,2026-07-01 13:20:00+05:30,2025.9865,2035.1,2013.3224,61,target,772.51,73.92,698.59,1.2566
ICICIBANK,long,2026-07-01 11:45:00+05:30,2026-07-01 11:50:00+05:30,2026-07-01 13:25:00+05:30,1379.5895,1376.0,1384.2812,90,target,422.26,74.62,347.63,1.0761
ITC,short,2026-07-02 09:55:00+05:30,2026-07-02 10:00:00+05:30,2026-07-02 10:30:00+05:30,289.2553,289.9,288.4324,432,target,355.5,74.87,280.63,1.0076
KOTAKBANK,short,2026-07-02 10:25:00+05:30,2026-07-02 10:30:00+05:30,2026-07-02 10:35:00+05:30,398.2008,399.0,399.1995,313,stop,-312.6,74.88,-387.47,-1.5489
RELIANCE,short,2026-07-02 10:00:00+05:30,2026-07-02 10:05:00+05:30,2026-07-02 11:05:00+05:30,1303.6479,1309.3,1304.752,95,stop,-104.89,74.34,-179.23,-0.3338
LT,short,2026-07-02 10:55:00+05:30,2026-07-02 11:00:00+05:30,2026-07-02 11:30:00+05:30,4039.0795,4046.0,4030.7132,30,target,250.99,72.63,178.36,0.8591
AXISBANK,short,2026-07-02 10:55:00+05:30,2026-07-02 11:00:00+05:30,2026-07-02 11:50:00+05:30,1361.7188,1367.0,1362.3808,91,stop,-60.24,74.37,-134.61,-0.2801
