exit_time,equity,net_pnl
2026-07-30 10:10:00+05:30,426005.3,-527.46
2026-07-30 10:35:00+05:30,425530.18,-475.12
2026-07-30 11:15:00+05:30,425719.68999999994,189.51
2026-07-30 11:30:00+05:30,426053.97,334.28
2026-07-30 12:30:00+05:30,425874.76999999996,-179.2
2026-07-31 09:35:00+05:30,426493.18999999994,618.42
2026-07-31 10:35:00+05:30,425909.68,-583.51
2026-07-31 11:35:00+05:30,425472.95999999996,-436.72
2026-07-31 13:10:00+05:30,425144.75,-328.21
2026-08-03 09:25:00+05:30,425086.72,-58.03
2026-08-03 11:25:00+05:30,424861.89999999997,-224.82
2026-08-03 11:50:00+05:30,425342.77999999997,480.88
2026-08-03 14:30:00+05:30,424812.25,-530.53
2026-08-03 15:05:00+05:30,425219.5,407.25
2026-08-03 15:05:00+05:30,424704.47,-515.03
2026-08-04 10:05:00+05:30,424211.16,-493.31
2026-08-04 11:15:00+05:30,423676.02999999997,-535.13
2026-08-04 12:20:00+05:30,423956.51999999996,280.49
2026-08-04 12:35:00+05:30,423821.79,-134.73
2026-08-04 14:05:00+05:30,423685.49,-136.3
2026-08-04 14:05:00+05:30,423243.42,-442.07
2026-08-04 14:15:00+05:30,422925.17999999993,-318.24
2026-08-05 10:40:00+05:30,422267.36,-657.82
2026-08-05 10:55:00+05:30,421891.93999999994,-375.42
2026-08-05 11:10:00+05:30,421558.27999999997,-333.66
2026-08-05 11:35:00+05:30,421442.56999999995,-115.71
2026-08-05 12:25:00+05:30,421142.54999999993,-300.02
2026-08-05 14:05:00+05:30,420707.63999999996,-434.91
2026-08-06 09:25:00+05:30,419916.6,-791.04
2026-08-06 10:15:00+05:30,420187.68999999994,271.09
2026-08-06 10:20:00+05:30,420439.97,252.28
2026-08-06 10:50:00+05:30,420115.43999999994,-324.53
2026-08-06 12:10:00+05:30,419779.2899999999,-336.15
2026-08-06 13:15:00+05:30,420331.85,552.56
2026-08-06 14:00:00+05:30,419896.81999999995,-435.03
2026-08-06 15:00:00+05:30,419557.17999999993,-339.64
2026-08-07 10:20:00+05:30,419244.8599999999,-312.32
2026-08-07 10:45:00+05:30,419045.44999999995,-199.41
2026-08-07 10:55:00+05:30,418956.2299999999,-89.22
2026-08-07 11:30:00+05:30,419391.48999999993,435.26
2026-08-07 11:55:00+05:30,419090.87999999995,-300.61
